"hospital_name","city","state","county_name","hospital_type","hospital_ownership","emergency_services","beds","trauma","mortality_national_comparison","rating"
"EVANS MEMORIAL HOSPITAL","CLAXTON","GA","EVANS","Acute Care Hospitals","Government - Hospital District or Authority","True",49,"NOT AVAILABLE","Same as the National average","4.0"
"SAINT JOSEPH REGIONAL MEDICAL CENTER","MISHAWAKA","IN","ST JOSEPH","Acute Care Hospitals","Voluntary non-profit - Private","True",294,"NOT AVAILABLE","Below the National average","4.0"
"GEORGETOWN COMMUNITY HOSPITAL","GEORGETOWN","KY","SCOTT","Acute Care Hospitals","Proprietary","True",75,"NOT AVAILABLE","Same as the National average","3.0"
"COMMUNITY HOSPITAL EAST","INDIANAPOLIS","IN","MARION","Acute Care Hospitals","Voluntary non-profit - Private","True",335,"NOT AVAILABLE","Below the National average","4.0"
"DUKES MEMORIAL HOSPITAL","PERU","IN","MIAMI","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","4.0"
"ORANGE CITY AREA HEALTH SYSTEM","ORANGE CITY","IA","SIOUX","Critical Access Hospitals","Voluntary non-profit - Other","True",25,"LEVEL IV","Same as the National average","4.0"
"EAST CARROLL PARISH HOSPITAL","LAKE PROVIDENCE","LA","EAST CARROLL","Acute Care Hospitals","Government - Hospital District or Authority","True",11,"NOT AVAILABLE","Same as the National average","3.0"
"UNION GENERAL HOSPITAL","FARMERVILLE","LA","UNION","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"UNION GENERAL HOSPITAL","FARMERVILLE","LA","UNION","Critical Access Hospitals","Voluntary non-profit - Private","True",45,"NOT AVAILABLE","Same as the National average","3.0"
"MAINE MEDICAL CENTER","PORTLAND","ME","CUMBERLAND","Acute Care Hospitals","Voluntary non-profit - Private","True",637,"LEVEL I","Same as the National average","2.0"
"FHN MEMORIAL HOSPITAL","FREEPORT","IL","STEPHENSON","Acute Care Hospitals","Voluntary non-profit - Private","True",100,"NOT AVAILABLE","Same as the National average","3.0"
"COMMUNITY HOSPITAL NORTH","INDIANAPOLIS","IN","MARION","Acute Care Hospitals","Voluntary non-profit - Private","True",339,"NOT AVAILABLE","Same as the National average","3.0"
"AVERA HOLY FAMILY HOSPITAL","ESTHERVILLE","IA","EMMET","Critical Access Hospitals","Voluntary non-profit - Church","True",25,"LEVEL IV","Same as the National average","4.0"
"MEMORIAL HOSPITAL AND MANOR","BAINBRIDGE","GA","DECATUR","Acute Care Hospitals","Government - Hospital District or Authority","True",80,"NOT AVAILABLE","Same as the National average","3.0"
"INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL","BLOOMINGTON","IN","MONROE","Acute Care Hospitals","Voluntary non-profit - Private","True",297,"LEVEL III","Same as the National average","4.0"
"JENNIE STUART MEDICAL CENTER","HOPKINSVILLE","KY","CHRISTIAN","Acute Care Hospitals","Voluntary non-profit - Private","True",194,"NOT AVAILABLE","Below the National average","2.0"
"LOGAN MEMORIAL HOSPITAL","RUSSELLVILLE","KY","LOGAN","Acute Care Hospitals","Proprietary","True",75,"NOT AVAILABLE","Same as the National average","3.0"
"PORTNEUF MEDICAL CENTER","POCATELLO","ID","BANNOCK","Acute Care Hospitals","Proprietary","True",205,"LEVEL II","Same as the National average","4.0"
"SULLIVAN COUNTY COMMUNITY HOSPITAL","SULLIVAN","IN","SULLIVAN","Critical Access Hospitals","Government - Local","True",25,"NOT AVAILABLE","Same as the National average","2.0"
"GIBSON COMMUNITY HOSPITAL","GIBSON CITY","IL","FORD","Critical Access Hospitals","Voluntary non-profit - Private","True",67,"NOT AVAILABLE","Same as the National average","4.0"
"ST VINCENT CLAY HOSPITAL INC","BRAZIL","IN","CLAY","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"MERCY MEDICAL CENTER-DES MOINES","DES MOINES","IA","POLK","Acute Care Hospitals","Voluntary non-profit - Private","True",656,"LEVEL II, LEVEL II PEDIATRIC","Same as the National average","3.0"
"BRIGHAM AND WOMEN'S HOSPITAL","BOSTON","MA","SUFFOLK","Acute Care Hospitals","Voluntary non-profit - Private","True",763,"LEVEL I","Above the National average","3.0"
"MOUNT DESERT ISLAND HOSPITAL","BAR HARBOR","ME","HANCOCK","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","4.0"
"HARDIN MEMORIAL HOSPITAL","ELIZABETHTOWN","KY","HARDIN","Acute Care Hospitals","Government - Local","True",25,"NOT AVAILABLE","Same as the National average","4.0"
"HARDIN MEMORIAL HOSPITAL","ELIZABETHTOWN","KY","HARDIN","Acute Care Hospitals","Government - Local","True",285,"NOT AVAILABLE","Same as the National average","4.0"
"BACON COUNTY HOSPITAL","ALMA","GA","BACON","Critical Access Hospitals","Voluntary non-profit - Other","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"BAPTIST HEALTH MADISONVILLE","MADISONVILLE","KY","HOPKINS","Acute Care Hospitals","Voluntary non-profit - Private","True",390,"NOT AVAILABLE","Below the National average","3.0"
"THIBODAUX REGIONAL MEDICAL CENTER","THIBODAUX","LA","LAFOURCHE","Acute Care Hospitals","Government - Hospital District or Authority","True",140,"NOT AVAILABLE","Same as the National average","4.0"
"THE MEDICAL CENTER AT ALBANY","ALBANY","KY","CLINTON","Acute Care Hospitals","Voluntary non-profit - Private","True",42,"NOT AVAILABLE","Same as the National average","3.0"
"REGIONAL MEDICAL CENTER","MANCHESTER","IA","DELAWARE","Critical Access Hospitals","Proprietary","True",25,"LEVEL IV","Same as the National average","4.0"
"SARAH D CULBERTSON MEMORIAL HOSPITAL","RUSHVILLE","IL","SCHUYLER","Critical Access Hospitals","Government - Hospital District or Authority","True",46,"NOT AVAILABLE","Same as the National average","3.0"
"HANCOCK REGIONAL HOSPITAL","GREENFIELD","IN","HANCOCK","Acute Care Hospitals","Government - Local","True",68,"NOT AVAILABLE","Below the National average","3.0"
"OLATHE MEDICAL CENTER","OLATHE","KS","JOHNSON","Acute Care Hospitals","Voluntary non-profit - Private","True",229,"NOT AVAILABLE","Same as the National average","3.0"
"WEST VALLEY MEDICAL CENTER","CALDWELL","ID","CANYON","Acute Care Hospitals","Proprietary","True",150,"NOT AVAILABLE","Same as the National average","4.0"
"WILLS MEMORIAL HOSPITAL","WASHINGTON","GA","WILKES","Critical Access Hospitals","Government - Hospital District or Authority","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"LAFAYETTE SURGICAL SPECIALTY HOSPITAL","LAFAYETTE","LA","LAFAYETTE","Acute Care Hospitals","Physician","False",20,"NOT AVAILABLE","Not Available","4.0"
"SAINT JOHN HOSPITAL","LEAVENWORTH","KS","LEAVENWORTH","Acute Care Hospitals","Voluntary non-profit - Other","True",76,"NOT AVAILABLE","Same as the National average","4.0"
"FRANKFORT REGIONAL MEDICAL CENTER","FRANKFORT","KY","FRANKLIN","Acute Care Hospitals","Proprietary","True",173,"LEVEL III","Same as the National average","3.0"
"SAINT JOSEPH BEREA","BEREA","KY","MADISON","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","4.0"
"BAPTIST HEALTH LA GRANGE","LA GRANGE","KY","OLDHAM","Acute Care Hospitals","Voluntary non-profit - Private","True",90,"NOT AVAILABLE","Same as the National average","3.0"
"CARROLL COUNTY MEMORIAL HOSPITAL","CARROLLTON","KY","CARROLL","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"CARROLL COUNTY MEMORIAL HOSPITAL","CARROLLTON","KY","CARROLL","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"LEVEL IV","Same as the National average","3.0"
"OWENSBORO HEALTH REGIONAL HOSPITAL","OWENSBORO","KY","DAVIESS","Acute Care Hospitals","Voluntary non-profit - Private","True",447,"LEVEL III","Same as the National average","3.0"
"SOUTHEASTERN REGIONAL MEDICAL CENTER","NEWNAN","GA","COWETA","Acute Care Hospitals","Proprietary","False",452,"NOT AVAILABLE","Not Available","4.0"
"SOUTHEASTERN REGIONAL MEDICAL CENTER","NEWNAN","GA","COWETA","Acute Care Hospitals","Proprietary","False",50,"NOT AVAILABLE","Not Available","4.0"
"MERCY HOSPITAL","PORTLAND","ME","CUMBERLAND","Acute Care Hospitals","Voluntary non-profit - Church","True",21,"NOT AVAILABLE","Same as the National average","4.0"
"MERCY HOSPITAL","PORTLAND","ME","CUMBERLAND","Acute Care Hospitals","Voluntary non-profit - Church","True",438,"NOT AVAILABLE","Same as the National average","4.0"
"MERCY HOSPITAL","PORTLAND","ME","CUMBERLAND","Acute Care Hospitals","Voluntary non-profit - Church","True",271,"LEVEL II","Same as the National average","4.0"
"MERCY HOSPITAL","PORTLAND","ME","CUMBERLAND","Acute Care Hospitals","Voluntary non-profit - Church","True",234,"LEVEL III","Same as the National average","4.0"
"MERCY HOSPITAL","PORTLAND","ME","CUMBERLAND","Acute Care Hospitals","Voluntary non-profit - Church","True",488,"NOT AVAILABLE","Same as the National average","4.0"
"UNIVERSITY OF LOUISVILLE HOSPITAL","LOUISVILLE","KY","JEFFERSON","Acute Care Hospitals","Voluntary non-profit - Private","True",404,"LEVEL I","Below the National average","1.0"
"TANNER MEDICAL CENTER VILLA RICA","VILLA RICA","GA","CARROLL","Acute Care Hospitals","Government - Hospital District or Authority","True",145,"NOT AVAILABLE","Same as the National average","3.0"
"KIRBY MEDICAL CENTER","MONTICELLO","IL","PIATT","Critical Access Hospitals","Voluntary non-profit - Private","True",16,"NOT AVAILABLE","Same as the National average","3.0"
"ESKENAZI HEALTH","INDIANAPOLIS","IN","MARION","Acute Care Hospitals","Government - Local","True",337,"LEVEL I","Same as the National average","3.0"
"MARSHALL COUNTY HOSPITAL","BENTON","KY","MARSHALL","Critical Access Hospitals","Government - Hospital District or Authority","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"WAYNE COUNTY HOSPITAL","MONTICELLO","KY","WAYNE","Critical Access Hospitals","Voluntary non-profit - Other","True",25,"LEVEL IV","Not Available","3.0"
"WAYNE COUNTY HOSPITAL","MONTICELLO","KY","WAYNE","Critical Access Hospitals","Voluntary non-profit - Other","True",25,"NOT AVAILABLE","Not Available","3.0"
"LAFAYETTE GENERAL MEDICAL CENTER","LAFAYETTE","LA","LAFAYETTE","Acute Care Hospitals","Voluntary non-profit - Private","True",353,"LEVEL II","Same as the National average","3.0"
"CALDWELL MEDICAL CENTER","PRINCETON","KY","CALDWELL","Critical Access Hospitals","Government - Hospital District or Authority","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"TAYLORVILLE MEMORIAL HOSPITAL","TAYLORVILLE","IL","CHRISTIAN","Critical Access Hospitals","Voluntary non-profit - Private","True",45,"NOT AVAILABLE","Same as the National average","4.0"
"WELLSTAR KENNESTONE HOSPITAL","MARIETTA","GA","COBB","Acute Care Hospitals","Voluntary non-profit - Other","True",633,"LEVEL II","Same as the National average","3.0"
"ST MARY MERCY HOSPITAL","LIVONIA","MI","WAYNE","Acute Care Hospitals","Voluntary non-profit - Private","True",273,"LEVEL II","Above the National average","3.0"
"THREE RIVERS MEDICAL CENTER","LOUISA","KY","LAWRENCE","Acute Care Hospitals","Proprietary","True",90,"NOT AVAILABLE","Same as the National average","3.0"
"COLQUITT REGIONAL MEDICAL CENTER","MOULTRIE","GA","COLQUITT","Acute Care Hospitals","Government - Hospital District or Authority","True",99,"NOT AVAILABLE","Same as the National average","3.0"
"MERCY MEDICAL CENTER-DUBUQUE","DUBUQUE","IA","DUBUQUE","Acute Care Hospitals","Voluntary non-profit - Church","True",303,"LEVEL III","Same as the National average","4.0"
"CITIZENS MEDICAL CENTER","COLBY","KS","THOMAS","Critical Access Hospitals","Voluntary non-profit - Private","True",88,"LEVEL IV","Same as the National average","3.0"
"CITIZENS MEDICAL CENTER","COLBY","KS","THOMAS","Critical Access Hospitals","Voluntary non-profit - Private","True",344,"LEVEL III","Same as the National average","3.0"
"CITIZENS MEDICAL CENTER","COLBY","KS","THOMAS","Critical Access Hospitals","Voluntary non-profit - Private","True",40,"NOT AVAILABLE","Same as the National average","3.0"
"ST MARY'S GOOD SAMARITAN HOSPITAL","GREENSBORO","GA","GREENE","Critical Access Hospitals","Proprietary","True",49,"NOT AVAILABLE","Same as the National average","3.0"
"GOOD SAMARITAN MEDICAL CENTER","BROCKTON","MA","PLYMOUTH","Acute Care Hospitals","Proprietary","True",224,"LEVEL III","Above the National average","3.0"
"GOOD SAMARITAN MEDICAL CENTER","BROCKTON","MA","PLYMOUTH","Acute Care Hospitals","Proprietary","True",333,"NOT AVAILABLE","Above the National average","3.0"
"ST JOSEPH'S HOSPITAL","HIGHLAND","IL","MADISON","Critical Access Hospitals","Voluntary non-profit - Church","True",486,"LEVEL III","Same as the National average","4.0"
"ST JOSEPH'S HOSPITAL","HIGHLAND","IL","MADISON","Critical Access Hospitals","Voluntary non-profit - Church","True",780,"LEVEL II","Same as the National average","4.0"
"INDIANA UNIVERSITY HEALTH","INDIANAPOLIS","IN","MARION","Acute Care Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","2.0"
"SAVOY MEDICAL CENTER","MAMOU","LA","EVANGELINE","Acute Care Hospitals","Government - Hospital District or Authority","True",180,"NOT AVAILABLE","Same as the National average","3.0"
"SAINT JOSEPH EAST","LEXINGTON","KY","FAYETTE","Acute Care Hospitals","Voluntary non-profit - Church","True",217,"NOT AVAILABLE","Same as the National average","2.0"
"EMANUEL MEDICAL CENTER","SWAINSBORO","GA","EMANUEL","Acute Care Hospitals","Government - Hospital District or Authority","True",72,"LEVEL IV","Same as the National average","3.0"
"CENTRAL LOUISIANA SURGICAL HOSPITAL","ALEXANDRIA","LA","RAPIDES","Acute Care Hospitals","Physician","False",24,"NOT AVAILABLE","Not Available","5.0"
"HILLSBORO AREA HOSPITAL","HILLSBORO","IL","MONTGOMERY","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","2.0"
"ST VINCENT CARMEL HOSPITAL INC","CARMEL","IN","HAMILTON","Acute Care Hospitals","Voluntary non-profit - Church","True",107,"NOT AVAILABLE","Same as the National average","5.0"
"SALINA REGIONAL HEALTH CENTER","SALINA","KS","SALINE","Acute Care Hospitals","Voluntary non-profit - Private","True",198,"LEVEL III","Same as the National average","3.0"
"RUSH UNIVERSITY MEDICAL CENTER","CHICAGO","IL","COOK","Acute Care Hospitals","Voluntary non-profit - Private","True",669,"NOT AVAILABLE","Above the National average","4.0"
"WELLSTAR WEST GEORGIA MEDICAL CENTER","LAGRANGE","GA","TROUP","Acute Care Hospitals","Government - Hospital District or Authority","True",276,"NOT AVAILABLE","Same as the National average","4.0"
"RAPIDES REGIONAL MEDICAL CENTER","ALEXANDRIA","LA","RAPIDES","Acute Care Hospitals","Proprietary","True",349,"LEVEL II","Same as the National average","3.0"
"MEMORIAL HOSPITAL OF SOUTH BEND","SOUTH BEND","IN","ST JOSEPH","Acute Care Hospitals","Voluntary non-profit - Private","True",416,"LEVEL II","Below the National average","4.0"
"BEAUREGARD MEMORIAL HOSPITAL","DERIDDER","LA","BEAUREGARD","Acute Care Hospitals","Government - Hospital District or Authority","True",60,"NOT AVAILABLE","Above the National average","3.0"
"ST JOSEPH MEDICAL CENTER","BLOOMINGTON","IL","MCLEAN","Acute Care Hospitals","Voluntary non-profit - Church","True",149,"LEVEL II","Below the National average","4.0"
"SAINT ALPHONSUS MEDICAL CENTER - NAMPA","NAMPA","ID","CANYON","Acute Care Hospitals","Voluntary non-profit - Church","True",106,"NOT AVAILABLE","Same as the National average","4.0"
"CLARK REGIONAL MEDICAL CENTER","WINCHESTER","KY","CLARK","Acute Care Hospitals","Proprietary","True",54,"NOT AVAILABLE","Same as the National average","4.0"
"ST VINCENT DUNN HOSPITAL INC","BEDFORD","IN","LAWRENCE","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","4.0"
"CITIZENS MEDICAL CENTER","COLUMBIA","LA","CALDWELL","Acute Care Hospitals","Government - Hospital District or Authority","True",88,"LEVEL IV","Same as the National average","3.0"
"CITIZENS MEDICAL CENTER","COLUMBIA","LA","CALDWELL","Acute Care Hospitals","Government - Hospital District or Authority","True",344,"LEVEL III","Same as the National average","3.0"
"CITIZENS MEDICAL CENTER","COLUMBIA","LA","CALDWELL","Acute Care Hospitals","Government - Hospital District or Authority","True",40,"NOT AVAILABLE","Same as the National average","3.0"
"COFFEYVILLE REGIONAL MEDICAL CENTER","COFFEYVILLE","KS","MONTGOMERY","Acute Care Hospitals","Government - Local","True",88,"NOT AVAILABLE","Same as the National average","3.0"
"ADVOCATE CONDELL MEDICAL CENTER","LIBERTYVILLE","IL","LAKE","Acute Care Hospitals","Voluntary non-profit - Private","True",279,"LEVEL I","Above the National average","5.0"
"POINTE COUPEE GENERAL HOSPITAL","NEW ROADS","LA","POINTE COUPEE","Critical Access Hospitals","Government - Hospital District or Authority","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"WOMEN'S HOSPITAL THE","NEWBURGH","IN","WARRICK","Acute Care Hospitals","Proprietary","True",74,"NOT AVAILABLE","Not Available","3.0"
"BYRD REGIONAL HOSPITAL","LEESVILLE","LA","VERNON","Acute Care Hospitals","Proprietary","True",60,"NOT AVAILABLE","Above the National average","3.0"
"METHODIST MEDICAL CENTER OF ILLINOIS","PEORIA","IL","PEORIA","Acute Care Hospitals","Voluntary non-profit - Private","True",-999,"NOT AVAILABLE","Same as the National average","4.0"
"METHODIST MEDICAL CENTER OF ILLINOIS","PEORIA","IL","PEORIA","Acute Care Hospitals","Voluntary non-profit - Private","True",269,"LEVEL II","Same as the National average","4.0"
"THE MEDICAL CENTER AT BOWLING GREEN","BOWLING GREEN","KY","WARREN","Acute Care Hospitals","Voluntary non-profit - Private","True",337,"NOT AVAILABLE","Same as the National average","3.0"
"TUG VALLEY ARH REGIONAL MEDICAL CENTER","SOUTH WILLIAMSON","KY","PIKE","Acute Care Hospitals","Proprietary","True",113,"LEVEL IV","Same as the National average","3.0"
"PALI MOMI MEDICAL CENTER","AIEA","HI","HONOLULU","Acute Care Hospitals","Proprietary","True",126,"LEVEL III","Same as the National average","4.0"
"ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC","FORT WAYNE","IN","ALLEN","Acute Care Hospitals","Voluntary non-profit - Private","True",37,"NOT AVAILABLE","Not Available","5.0"
"INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL","PAOLI","IN","ORANGE","Critical Access Hospitals","Voluntary non-profit - Private","True",24,"NOT AVAILABLE","Not Available","3.0"
"SAINT LUKE'S CUSHING HOSPITAL","LEAVENWORTH","KS","LEAVENWORTH","Acute Care Hospitals","Voluntary non-profit - Private","True",54,"NOT AVAILABLE","Same as the National average","4.0"
"PIEDMONT NEWTON HOSPITAL","COVINGTON","GA","NEWTON","Acute Care Hospitals","Voluntary non-profit - Private","True",101,"NOT AVAILABLE","Below the National average","2.0"
"ST ALEXIUS MEDICAL CENTER","HOFFMAN ESTATES","IL","COOK","Acute Care Hospitals","Voluntary non-profit - Church","True",287,"LEVEL II","Above the National average","4.0"
"ST ALEXIUS MEDICAL CENTER","HOFFMAN ESTATES","IL","COOK","Acute Care Hospitals","Voluntary non-profit - Church","True",305,"LEVEL II","Above the National average","4.0"
"RUSSELL COUNTY HOSPITAL","RUSSELL SPRINGS","KY","RUSSELL","Critical Access Hospitals","Government - Local","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"STRAUB CLINIC AND HOSPITAL","HONOLULU","HI","HONOLULU","Acute Care Hospitals","Proprietary","True",111,"NOT AVAILABLE","Same as the National average","5.0"
"RICHARDSON MEDICAL CENTER","RAYVILLE","LA","RICHLAND","Acute Care Hospitals","Government - Hospital District or Authority","True",31,"NOT AVAILABLE","Same as the National average","3.0"
"MARCUM AND WALLACE MEMORIAL HOSPITAL","IRVINE","KY","ESTILL","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"LEVEL IV","Same as the National average","4.0"
"ST VINCENT JENNINGS HOSPITAL INC","NORTH VERNON","IN","JENNINGS","Critical Access Hospitals","Voluntary non-profit - Church","True",17,"NOT AVAILABLE","Not Available","3.0"
"METHODIST HOSPITAL UNION COUNTY","MORGANFIELD","KY","UNION","Critical Access Hospitals","Voluntary non-profit - Church","True",25,"LEVEL IV","Same as the National average","3.0"
"INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL","BEDFORD","IN","LAWRENCE","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"CLAY COUNTY HOSPITAL","FLORA","IL","CLAY","Critical Access Hospitals","Government - Local","True",18,"NOT AVAILABLE","Same as the National average","3.0"
"CLAY COUNTY HOSPITAL","FLORA","IL","CLAY","Critical Access Hospitals","Government - Local","True",45,"NOT AVAILABLE","Same as the National average","3.0"
"ST JOHNS HOSPITAL","SPRINGFIELD","IL","SANGAMON","Acute Care Hospitals","Voluntary non-profit - Church","True",434,"LEVEL I, LEVEL II PEDIATRIC","Same as the National average","3.0"
"PERRY MEMORIAL HOSPITAL","PRINCETON","IL","BUREAU","Critical Access Hospitals","Government - Local","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"LOURDES HOSPITAL","PADUCAH","KY","MCCRACKEN","Acute Care Hospitals","Voluntary non-profit - Church","True",359,"NOT AVAILABLE","Below the National average","2.0"
"NORTHWESTERN MEMORIAL HOSPITAL","CHICAGO","IL","COOK","Acute Care Hospitals","Voluntary non-profit - Private","True",885,"LEVEL I","Above the National average","3.0"
"DAVIESS COMMUNITY HOSPITAL","WASHINGTON","IN","DAVIESS","Acute Care Hospitals","Voluntary non-profit - Other","True",80,"NOT AVAILABLE","Same as the National average","3.0"
"CAMERON MEMORIAL COMMUNITY HOSPITAL INC","ANGOLA","IN","STEUBEN","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"ST JOSEPH HOSPITAL","BANGOR","ME","PENOBSCOT","Acute Care Hospitals","Voluntary non-profit - Church","True",145,"NOT AVAILABLE","Same as the National average","4.0"
"ST JOSEPH HOSPITAL","BANGOR","ME","PENOBSCOT","Acute Care Hospitals","Voluntary non-profit - Church","True",51,"LEVEL IV","Same as the National average","4.0"
"ST JOSEPH HOSPITAL","BANGOR","ME","PENOBSCOT","Acute Care Hospitals","Voluntary non-profit - Church","True",208,"LEVEL III","Same as the National average","4.0"
"UNIVERSITY OF KENTUCKY HOSPITAL","LEXINGTON","KY","FAYETTE","Acute Care Hospitals","Government - State","True",724,"LEVEL I, LEVEL I PEDIATRIC","Same as the National average","3.0"
"MARGARET MARY HEALTH","BATESVILLE","IN","RIPLEY","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","4.0"
"ST FRANCIS HOSPITAL","LITCHFIELD","IL","MONTGOMERY","Critical Access Hospitals","Voluntary non-profit - Church","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"ST FRANCIS HOSPITAL","LITCHFIELD","IL","MONTGOMERY","Critical Access Hospitals","Voluntary non-profit - Church","True",376,"NOT AVAILABLE","Same as the National average","3.0"
"ST FRANCIS HOSPITAL","LITCHFIELD","IL","MONTGOMERY","Critical Access Hospitals","Voluntary non-profit - Church","True",142,"NOT AVAILABLE","Same as the National average","3.0"
"ST FRANCIS HOSPITAL","LITCHFIELD","IL","MONTGOMERY","Critical Access Hospitals","Voluntary non-profit - Church","True",25,"NOT AVAILABLE","Same as the National average","3.0"
"PARKVIEW REGIONAL MEDICAL CENTER","FORT WAYNE","IN","ALLEN","Acute Care Hospitals","Voluntary non-profit - Private","True",650,"LEVEL II, LEVEL II PEDIATRIC","Below the National average","4.0"
"EMORY JOHNS CREEK HOSPITAL","JOHNS CREEK","GA","CHATTOOGA","Acute Care Hospitals","Proprietary","True",110,"NOT AVAILABLE","Above the National average","3.0"
"BLUFFTON REGIONAL MEDICAL CENTER","BLUFFTON","IN","WELLS","Acute Care Hospitals","Proprietary","True",79,"NOT AVAILABLE","Same as the National average","3.0"
"METHODIST HOSPITALS INC","GARY","IN","LAKE","Acute Care Hospitals","Voluntary non-profit - Private","True",536,"LEVEL III","Above the National average","3.0"
"HORN MEMORIAL HOSPITAL","IDA GROVE","IA","IDA","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"LEVEL IV","Not Available","3.0"
"SCHNECK MEDICAL CENTER","SEYMOUR","IN","JACKSON","Acute Care Hospitals","Government - Local","True",93,"NOT AVAILABLE","Same as the National average","5.0"
"BROADLAWNS MEDICAL CENTER","DES MOINES","IA","POLK","Acute Care Hospitals","Government - Local","True",200,"LEVEL III","Not Available","3.0"
"JOHNSON MEMORIAL HOSPITAL","FRANKLIN","IN","JOHNSON","Acute Care Hospitals","Government - Local","True",72,"NOT AVAILABLE","Same as the National average","4.0"
"JOHNSON MEMORIAL HOSPITAL","FRANKLIN","IN","JOHNSON","Acute Care Hospitals","Government - Local","True",125,"NOT AVAILABLE","Same as the National average","4.0"
"CASS COUNTY MEMORIAL HOSPITAL","ATLANTIC","IA","CASS","Critical Access Hospitals","Government - Local","True",33,"LEVEL IV","Same as the National average","3.0"
"ANNA JAQUES HOSPITAL","NEWBURYPORT","MA","ESSEX","Acute Care Hospitals","Voluntary non-profit - Private","True",111,"LEVEL III","Same as the National average","3.0"
"REPUBLIC COUNTY HOSPITAL","BELLEVILLE","KS","REPUBLIC","Critical Access Hospitals","Voluntary non-profit - Private","True",63,"LEVEL IV","Same as the National average","3.0"
"MEMORIAL HOSPITAL OF CARBONDALE","CARBONDALE","IL","JACKSON","Acute Care Hospitals","Voluntary non-profit - Private","True",159,"NOT AVAILABLE","Same as the National average","3.0"
"NASHOBA VALLEY MEDICAL CENTER","AYER","MA","MIDDLESEX","Acute Care Hospitals","Proprietary","True",77,"NOT AVAILABLE","Same as the National average","3.0"
"NATCHITOCHES REGIONAL MEDICAL CENTER","NATCHITOCHES","LA","NATCHITOCHES","Acute Care Hospitals","Government - Hospital District or Authority","True",208,"NOT AVAILABLE","Above the National average","4.0"
"WAHIAWA GENERAL HOSPITAL","WAHIAWA","HI","HONOLULU","Acute Care Hospitals","Voluntary non-profit - Private","True",160,"NOT AVAILABLE","Same as the National average","2.0"
"INDIANA UNIVERSITY HEALTH NORTH HOSPITAL","CARMEL","IN","HAMILTON","Acute Care Hospitals","Proprietary","True",149,"NOT AVAILABLE","Same as the National average","4.0"
"JENNINGS AMERICAN LEGION HOSPITAL","JENNINGS","LA","JEFFERSON DAVIS","Acute Care Hospitals","Voluntary non-profit - Private","True",60,"NOT AVAILABLE","Same as the National average","3.0"
"PRATT REGIONAL MEDICAL CENTER","PRATT","KS","PRATT","Acute Care Hospitals","Voluntary non-profit - Private","True",85,"LEVEL IV","Same as the National average","2.0"
"SYRINGA GENERAL HOSPITAL","GRANGEVILLE","ID","IDAHO","Critical Access Hospitals","Government - Hospital District or Authority","True",16,"NOT AVAILABLE","Not Available","3.0"
"INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL","MUNCIE","IN","DELAWARE","Acute Care Hospitals","Voluntary non-profit - Private","True",379,"LEVEL III","Same as the National average","4.0"
"SOUTH SHORE HOSPITAL","SOUTH WEYMOUTH","MA","NORFOLK","Acute Care Hospitals","Voluntary non-profit - Private","True",370,"LEVEL II","Above the National average","3.0"
"SOUTH SHORE HOSPITAL","SOUTH WEYMOUTH","MA","NORFOLK","Acute Care Hospitals","Voluntary non-profit - Private","True",137,"NOT AVAILABLE","Above the National average","3.0"
"BOONE COUNTY HOSPITAL","BOONE","IA","BOONE","Critical Access Hospitals","Government - Local","True",42,"LEVEL IV","Same as the National average","3.0"
